Tarih;Saat;PTF;SMF;Pozitif Dengesizlik Fiyatı (TL/MWh);Negatif Dengesizlik Fiyatı (TL/MWh);SMF Yön
01.01.2025;00:00;2.494,00;2.494,00;2.419,18;2.568,82;Enerji Açığı
01.01.2025;01:00;1.799,98;1.799,98;1.745,98;1.853,98;Enerji Açığı
01.01.2025;02:00;1.692,99;1.692,99;1.642,20;1.743,78;Enerji Açığı
01.01.2025;03:00;2.244,99;1.847,00;1.791,59;2.312,34;Enerji Fazlası
01.01.2025;04:00;2.400,01;2.210,01;2.143,71;2.472,01;Enerji Fazlası
01.01.2025;05:00;2.680,00;2.680,00;2.599,60;2.760,40;Dengede
01.01.2025;06:00;2.989,99;2.990,00;2.900,29;3.079,70;Enerji Açığı
01.01.2025;07:00;2.979,99;1.847,00;1.791,59;3.069,39;Enerji Fazlası
01.01.2025;08:00;3.000,00;1.847,00;1.791,59;3.090,00;Enerji Fazlası
01.01.2025;09:00;2.600,01;675,00;654,75;2.678,01;Enerji Fazlası
01.01.2025;10:00;1.350,00;4,00;3,88;1.390,50;Enerji Fazlası
01.01.2025;11:00;1.799,98;5,00;4,85;1.853,98;Enerji Fazlası
01.01.2025;12:00;1.000,00;0,79;0,77;1.030,00;Enerji Fazlası
01.01.2025;13:00;1.512,63;4,00;3,88;1.558,01;Enerji Fazlası
01.01.2025;14:00;2.005,01;310,00;300,70;2.065,16;Enerji Fazlası
01.01.2025;15:00;2.283,04;650,00;630,50;2.351,53;Enerji Fazlası
01.01.2025;16:00;3.000,00;1.000,00;970,00;3.090,00;Enerji Fazlası
01.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
01.01.2025;18:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
01.01.2025;19:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
01.01.2025;20:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
01.01.2025;21:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
01.01.2025;22:00;2.399,99;1.847,00;1.791,59;2.471,99;Enerji Fazlası
01.01.2025;23:00;2.274,00;2.084,00;2.021,48;2.342,22;Enerji Fazlası
02.01.2025;00:00;2.634,45;1.837,00;1.781,89;2.713,48;Enerji Fazlası
02.01.2025;01:00;2.583,43;1.837,00;1.781,89;2.660,93;Enerji Fazlası
02.01.2025;02:00;2.144,99;2.499,00;2.080,64;2.573,97;Enerji Açığı
02.01.2025;03:00;2.112,78;2.416,93;2.049,40;2.489,44;Enerji Açığı
02.01.2025;04:00;1.799,98;2.223,34;1.745,98;2.290,04;Enerji Açığı
02.01.2025;05:00;1.889,99;2.313,35;1.833,29;2.382,75;Enerji Açığı
02.01.2025;06:00;2.482,22;2.506,15;2.407,75;2.581,33;Enerji Açığı
02.01.2025;07:00;2.900,01;2.900,01;2.813,01;2.987,01;Enerji Açığı
02.01.2025;08:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
02.01.2025;09:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
02.01.2025;10:00;2.594,58;1.837,00;1.781,89;2.672,42;Enerji Fazlası
02.01.2025;11:00;2.505,65;1.000,00;970,00;2.580,82;Enerji Fazlası
02.01.2025;12:00;1.999,99;700,00;679,00;2.059,99;Enerji Fazlası
02.01.2025;13:00;2.112,78;699,99;678,99;2.176,16;Enerji Fazlası
