Tarih;Saat;PTF;SMF;Pozitif Dengesizlik Fiyatı (TL/MWh);Negatif Dengesizlik Fiyatı (TL/MWh);SMF Yön
02.01.2025;14:00;2.594,00;1.000,00;970,00;2.671,82;Enerji Fazlası
02.01.2025;15:00;2.728,85;1.000,00;970,00;2.810,72;Enerji Fazlası
02.01.2025;16:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
02.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
02.01.2025;18:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
02.01.2025;19:00;2.949,99;2.999,00;2.861,49;3.088,97;Enerji Açığı
02.01.2025;20:00;2.777,77;2.998,00;2.694,44;3.087,94;Enerji Açığı
02.01.2025;21:00;2.749,80;2.999,00;2.667,31;3.088,97;Enerji Açığı
02.01.2025;22:00;2.266,73;2.599,00;2.198,73;2.676,97;Enerji Açığı
02.01.2025;23:00;2.294,00;2.717,36;2.225,18;2.798,88;Enerji Açığı
03.01.2025;00:00;2.706,39;2.999,00;2.625,20;3.088,97;Enerji Açığı
03.01.2025;01:00;2.549,98;2.575,27;2.473,48;2.652,53;Enerji Açığı
03.01.2025;02:00;2.400,00;2.554,29;2.328,00;2.630,92;Enerji Açığı
03.01.2025;03:00;1.923,11;2.323,11;1.865,42;2.392,80;Enerji Açığı
03.01.2025;04:00;1.799,98;2.377,98;1.745,98;2.449,32;Enerji Açığı
03.01.2025;05:00;1.957,64;2.381,00;1.898,91;2.452,43;Enerji Açığı
03.01.2025;06:00;2.200,01;2.600,01;2.134,01;2.678,01;Enerji Açığı
03.01.2025;07:00;2.524,99;2.199,99;2.133,99;2.600,74;Enerji Fazlası
03.01.2025;08:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
03.01.2025;09:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
03.01.2025;10:00;2.584,00;2.999,00;2.506,48;3.088,97;Enerji Açığı
03.01.2025;11:00;2.507,15;2.930,51;2.431,94;3.018,43;Enerji Açığı
03.01.2025;12:00;1.424,10;1.750,32;1.381,38;1.802,83;Enerji Açığı
03.01.2025;13:00;1.424,10;700,00;679,00;1.466,82;Enerji Fazlası
03.01.2025;14:00;2.384,00;1.736,00;1.683,92;2.455,52;Enerji Fazlası
03.01.2025;15:00;2.080,00;1.847,00;1.791,59;2.142,40;Enerji Fazlası
03.01.2025;16:00;2.853,85;1.847,00;1.791,59;2.939,47;Enerji Fazlası
03.01.2025;17:00;2.998,10;2.999,02;2.908,16;3.088,99;Enerji Açığı
03.01.2025;18:00;2.980,00;2.999,02;2.890,60;3.088,99;Enerji Açığı
03.01.2025;19:00;2.777,78;2.825,78;2.694,45;2.910,55;Enerji Açığı
03.01.2025;20:00;2.499,98;2.899,98;2.424,98;2.986,98;Enerji Açığı
03.01.2025;21:00;2.326,99;2.726,99;2.257,18;2.808,80;Enerji Açığı
03.01.2025;22:00;2.153,64;1.697,00;1.646,09;2.218,25;Enerji Fazlası
03.01.2025;23:00;2.100,00;2.470,00;2.037,00;2.544,10;Enerji Açığı
04.01.2025;00:00;2.680,01;2.705,06;2.599,61;2.786,21;Enerji Açığı
04.01.2025;01:00;2.473,99;2.897,02;2.399,77;2.983,93;Enerji Açığı
04.01.2025;02:00;2.244,99;2.644,99;2.177,64;2.724,34;Enerji Açığı
04.01.2025;03:00;1.999,98;1.999,98;1.939,98;2.059,98;Dengede
04.01.2025;04:00;1.799,98;2.199,98;1.745,98;2.265,98;Enerji Açığı
04.01.2025;05:00;2.139,99;2.530,05;2.075,79;2.605,95;Enerji Açığı
04.01.2025;06:00;2.488,89;2.888,89;2.414,22;2.975,56;Enerji Açığı
04.01.2025;07:00;2.207,99;2.530,05;2.141,75;2.605,95;Enerji Açığı
04.01.2025;08:00;2.945,99;2.345,00;2.274,65;3.034,37;Enerji Fazlası
04.01.2025;09:00;2.949,48;2.999,00;2.861,00;3.088,97;Enerji Açığı
04.01.2025;10:00;2.500,01;2.929,00;2.425,01;3.016,87;Enerji Açığı
04.01.2025;11:00;2.215,01;2.638,04;2.148,56;2.717,18;Enerji Açığı
04.01.2025;12:00;2.208,00;2.530,05;2.141,76;2.605,95;Enerji Açığı
04.01.2025;13:00;2.334,01;2.757,04;2.263,99;2.839,75;Enerji Açığı
04.01.2025;14:00;2.692,32;2.999,05;2.611,55;3.089,02;Enerji Açığı
04.01.2025;15:00;2.253,59;2.999,21;2.185,98;3.089,19;Enerji Açığı
04.01.2025;16:00;2.990,00;2.999,23;2.900,30;3.089,21;Enerji Açığı
04.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
04.01.2025;18:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
04.01.2025;19:00;2.989,99;2.999,23;2.900,29;3.089,21;Enerji Açığı
04.01.2025;20:00;2.600,00;2.999,00;2.522,00;3.088,97;Enerji Açığı
04.01.2025;21:00;2.700,01;2.999,00;2.619,01;3.088,97;Enerji Açığı
04.01.2025;22:00;2.256,27;2.256,27;2.188,58;2.323,96;Enerji Açığı
04.01.2025;23:00;2.297,01;2.530,05;2.228,10;2.605,95;Enerji Açığı
05.01.2025;00:00;2.500,00;2.699,00;2.425,00;2.779,97;Enerji Açığı
05.01.2025;01:00;2.076,99;2.530,05;2.014,68;2.605,95;Enerji Açığı
05.01.2025;02:00;2.444,22;2.844,22;2.370,89;2.929,55;Enerji Açığı
05.01.2025;03:00;2.300,01;2.393,70;2.231,01;2.465,51;Enerji Açığı
05.01.2025;04:00;2.227,01;2.393,70;2.160,20;2.465,51;Enerji Açığı
05.01.2025;05:00;2.274,01;2.393,70;2.205,79;2.465,51;Enerji Açığı
05.01.2025;06:00;2.374,01;2.530,05;2.302,79;2.605,95;Enerji Açığı
05.01.2025;07:00;2.407,99;2.807,99;2.335,75;2.892,23;Enerji Açığı
05.01.2025;08:00;2.080,00;2.393,70;2.017,60;2.465,51;Enerji Açığı
05.01.2025;09:00;2.080,00;2.530,05;2.017,60;2.605,95;Enerji Açığı
05.01.2025;10:00;2.666,90;2.666,90;2.586,89;2.746,91;Enerji Fazlası
05.01.2025;11:00;2.670,00;1.790,00;1.736,30;2.750,10;Enerji Fazlası
05.01.2025;12:00;2.670,00;1.636,00;1.586,92;2.750,10;Enerji Fazlası
05.01.2025;13:00;2.674,01;1.636,00;1.586,92;2.754,23;Enerji Fazlası
05.01.2025;14:00;2.488,89;1.636,00;1.586,92;2.563,56;Enerji Fazlası
05.01.2025;15:00;2.207,99;1.790,00;1.736,30;2.274,23;Enerji Fazlası
05.01.2025;16:00;2.488,32;1.790,00;1.736,30;2.562,97;Enerji Fazlası
05.01.2025;17:00;2.989,99;2.999,00;2.900,29;3.088,97;Enerji Açığı
05.01.2025;18:00;2.988,00;2.988,00;2.898,36;3.077,64;Dengede
05.01.2025;19:00;2.950,01;2.975,06;2.861,51;3.064,31;Enerji Açığı
05.01.2025;20:00;2.777,78;2.940,00;2.694,45;3.028,20;Enerji Açığı
05.01.2025;21:00;2.799,99;2.825,04;2.715,99;2.909,79;Enerji Açığı
05.01.2025;22:00;2.449,98;1.790,00;1.736,30;2.523,48;Enerji Fazlası
05.01.2025;23:00;2.474,01;2.474,01;2.399,79;2.548,23;Enerji Açığı
06.01.2025;00:00;2.726,67;1.790,00;1.736,30;2.808,47;Enerji Fazlası
06.01.2025;01:00;2.420,99;1.790,00;1.736,30;2.493,62;Enerji Fazlası
06.01.2025;02:00;2.157,00;1.790,00;1.736,30;2.221,71;Enerji Fazlası
06.01.2025;03:00;2.071,01;1.790,00;1.736,30;2.133,14;Enerji Fazlası
06.01.2025;04:00;2.071,01;2.071,01;2.008,88;2.133,14;Dengede
06.01.2025;05:00;2.071,00;2.071,00;2.008,87;2.133,13;Dengede
06.01.2025;06:00;2.478,97;2.502,67;2.404,60;2.577,75;Enerji Açığı
06.01.2025;07:00;2.771,78;2.796,83;2.688,63;2.880,73;Enerji Açığı
06.01.2025;08:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
06.01.2025;09:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
06.01.2025;10:00;2.990,00;2.999,06;2.900,30;3.089,03;Enerji Açığı
06.01.2025;11:00;2.825,00;2.999,01;2.740,25;3.088,98;Enerji Açığı
06.01.2025;12:00;2.319,88;699,99;678,99;2.389,48;Enerji Fazlası
06.01.2025;13:00;2.219,69;699,99;678,99;2.286,28;Enerji Fazlası
06.01.2025;14:00;2.275,00;700,00;679,00;2.343,25;Enerji Fazlası
06.01.2025;15:00;2.771,78;1.551,00;1.504,47;2.854,93;Enerji Fazlası
06.01.2025;16:00;3.000,00;2.850,00;2.764,50;3.090,00;Enerji Fazlası
06.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
06.01.2025;18:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
06.01.2025;19:00;2.999,98;3.000,00;2.909,98;3.090,00;Enerji Açığı
06.01.2025;20:00;2.775,36;1.790,00;1.736,30;2.858,62;Enerji Fazlası
06.01.2025;21:00;2.929,00;1.054,00;1.022,38;3.016,87;Enerji Fazlası
06.01.2025;22:00;2.449,98;750,00;727,50;2.523,48;Enerji Fazlası
06.01.2025;23:00;2.139,99;1.641,10;1.591,87;2.204,19;Enerji Fazlası
07.01.2025;00:00;2.500,00;1.000,00;970,00;2.575,00;Enerji Fazlası
07.01.2025;01:00;2.424,99;700,00;679,00;2.497,74;Enerji Fazlası
07.01.2025;02:00;2.200,00;700,00;679,00;2.266,00;Enerji Fazlası
07.01.2025;03:00;2.229,00;1.790,00;1.736,30;2.295,87;Enerji Fazlası
07.01.2025;04:00;2.139,98;936,00;907,92;2.204,18;Enerji Fazlası
07.01.2025;05:00;2.229,01;750,00;727,50;2.295,88;Enerji Fazlası
07.01.2025;06:00;2.493,49;1.790,00;1.736,30;2.568,29;Enerji Fazlası
07.01.2025;07:00;2.500,85;1.790,00;1.736,30;2.575,88;Enerji Fazlası
07.01.2025;08:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
07.01.2025;09:00;2.999,99;3.000,00;2.909,99;3.090,00;Enerji Açığı
07.01.2025;10:00;2.500,01;2.750,01;2.425,01;2.832,51;Enerji Açığı
07.01.2025;11:00;2.326,92;700,00;679,00;2.396,73;Enerji Fazlası
07.01.2025;12:00;1.799,97;700,00;679,00;1.853,97;Enerji Fazlası
07.01.2025;13:00;1.799,98;700,00;679,00;1.853,98;Enerji Fazlası
07.01.2025;14:00;2.500,01;700,00;679,00;2.575,01;Enerji Fazlası
07.01.2025;15:00;2.326,99;700,00;679,00;2.396,80;Enerji Fazlası
07.01.2025;16:00;2.902,67;1.712,00;1.660,64;2.989,75;Enerji Fazlası
07.01.2025;17:00;2.995,99;2.999,01;2.906,11;3.088,98;Enerji Açığı
07.01.2025;18:00;2.988,00;2.390,00;2.318,30;3.077,64;Enerji Fazlası
07.01.2025;19:00;2.788,38;1.790,00;1.736,30;2.872,03;Enerji Fazlası
07.01.2025;20:00;2.200,00;1.790,00;1.736,30;2.266,00;Enerji Fazlası
07.01.2025;21:00;2.499,99;2.749,99;2.424,99;2.832,49;Enerji Açığı
07.01.2025;22:00;2.318,38;700,00;679,00;2.387,93;Enerji Fazlası
07.01.2025;23:00;2.229,01;1.790,00;1.736,30;2.295,88;Enerji Fazlası
08.01.2025;00:00;2.650,00;1.716,00;1.664,52;2.729,50;Enerji Fazlası
08.01.2025;01:00;2.309,81;1.000,00;970,00;2.379,10;Enerji Fazlası
08.01.2025;02:00;2.296,31;2.530,05;2.227,42;2.605,95;Enerji Açığı
08.01.2025;03:00;1.957,64;1.957,64;1.898,91;2.016,37;Dengede
08.01.2025;04:00;1.999,98;2.249,98;1.939,98;2.317,48;Enerji Açığı
08.01.2025;05:00;2.061,00;2.461,00;1.999,17;2.534,83;Enerji Açığı
08.01.2025;06:00;2.425,00;2.848,47;2.352,25;2.933,92;Enerji Açığı
08.01.2025;07:00;2.424,99;2.824,99;2.352,24;2.909,74;Enerji Açığı
08.01.2025;08:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
08.01.2025;09:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
08.01.2025;10:00;2.788,39;2.960,00;2.704,74;3.048,80;Enerji Açığı
08.01.2025;11:00;2.417,22;1.927,33;1.869,51;2.489,74;Enerji Fazlası
08.01.2025;12:00;1.849,99;1.849,99;1.794,49;1.905,49;Enerji Fazlası
08.01.2025;13:00;2.025,99;1.000,00;970,00;2.086,77;Enerji Fazlası
08.01.2025;14:00;2.149,46;2.399,46;2.084,98;2.471,44;Enerji Açığı
08.01.2025;15:00;2.068,38;2.318,38;2.006,33;2.387,93;Enerji Açığı
08.01.2025;16:00;2.906,84;2.906,84;2.819,63;2.994,05;Enerji Fazlası
08.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
08.01.2025;18:00;2.990,00;2.999,20;2.900,30;3.089,18;Enerji Açığı
08.01.2025;19:00;2.987,00;2.999,20;2.897,39;3.089,18;Enerji Açığı
08.01.2025;20:00;2.788,39;2.788,39;2.704,74;2.872,04;Dengede
08.01.2025;21:00;2.949,99;2.999,20;2.861,49;3.089,18;Enerji Açığı
08.01.2025;22:00;2.500,01;1.716,00;1.664,52;2.575,01;Enerji Fazlası
08.01.2025;23:00;2.503,29;1.716,00;1.664,52;2.578,39;Enerji Fazlası
09.01.2025;00:00;2.534,08;2.334,08;2.264,06;2.610,10;Enerji Fazlası
09.01.2025;01:00;2.300,01;2.300,01;2.231,01;2.369,01;Enerji Açığı
09.01.2025;02:00;2.063,38;2.063,38;2.001,48;2.125,28;Dengede
09.01.2025;03:00;2.140,00;2.140,00;2.075,80;2.204,20;Dengede
09.01.2025;04:00;2.140,00;2.390,00;2.075,80;2.461,70;Enerji Açığı
09.01.2025;05:00;2.249,99;2.499,99;2.182,49;2.574,99;Enerji Açığı
09.01.2025;06:00;2.623,00;2.648,05;2.544,31;2.727,49;Enerji Açığı
09.01.2025;07:00;2.888,39;1.716,00;1.664,52;2.975,04;Enerji Fazlası
09.01.2025;08:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
09.01.2025;09:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
09.01.2025;10:00;2.888,38;2.999,01;2.801,73;3.088,98;Enerji Açığı
09.01.2025;11:00;2.547,62;1.716,00;1.664,52;2.624,05;Enerji Fazlası
09.01.2025;12:00;1.799,98;1.799,98;1.745,98;1.853,98;Enerji Fazlası
09.01.2025;13:00;1.800,01;936,00;907,92;1.854,01;Enerji Fazlası
09.01.2025;14:00;2.174,99;750,00;727,50;2.240,24;Enerji Fazlası
09.01.2025;15:00;2.500,01;1.000,00;970,00;2.575,01;Enerji Fazlası
09.01.2025;16:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
09.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
09.01.2025;18:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
09.01.2025;19:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
09.01.2025;20:00;2.989,99;2.989,99;2.900,29;3.079,69;Enerji Açığı
09.01.2025;21:00;2.950,01;2.950,01;2.861,51;3.038,51;Enerji Açığı
09.01.2025;22:00;2.599,99;1.795,00;1.741,15;2.677,99;Enerji Fazlası
09.01.2025;23:00;2.496,00;1.795,00;1.741,15;2.570,88;Enerji Fazlası
10.01.2025;00:00;2.596,00;1.616,00;1.567,52;2.673,88;Enerji Fazlası
10.01.2025;01:00;2.368,39;1.616,00;1.567,52;2.439,44;Enerji Fazlası
10.01.2025;02:00;2.153,38;1.000,00;970,00;2.217,98;Enerji Fazlası
10.01.2025;03:00;2.153,39;700,00;679,00;2.217,99;Enerji Fazlası
10.01.2025;04:00;2.305,00;700,00;679,00;2.374,15;Enerji Fazlası
10.01.2025;05:00;2.166,00;2.166,00;2.101,02;2.230,98;Dengede
10.01.2025;06:00;2.549,98;1.616,00;1.567,52;2.626,48;Enerji Fazlası
10.01.2025;07:00;2.800,00;1.616,00;1.567,52;2.884,00;Enerji Fazlası
10.01.2025;08:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
10.01.2025;09:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
10.01.2025;10:00;2.949,99;2.999,00;2.861,49;3.088,97;Enerji Açığı
10.01.2025;11:00;2.421,00;2.844,81;2.348,37;2.930,15;Enerji Açığı
10.01.2025;12:00;1.533,70;1.783,70;1.487,69;1.837,21;Enerji Açığı
10.01.2025;13:00;1.595,00;1.595,00;1.547,15;1.642,85;Enerji Fazlası
10.01.2025;14:00;2.200,00;1.000,00;970,00;2.266,00;Enerji Fazlası
10.01.2025;15:00;2.500,01;1.616,00;1.567,52;2.575,01;Enerji Fazlası
10.01.2025;16:00;2.989,99;2.989,99;2.900,29;3.079,69;Enerji Açığı
10.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
10.01.2025;18:00;2.989,99;2.999,04;2.900,29;3.089,01;Enerji Açığı
10.01.2025;19:00;2.946,00;2.999,01;2.857,62;3.088,98;Enerji Açığı
10.01.2025;20:00;2.788,39;2.298,50;2.229,54;2.872,04;Enerji Fazlası
10.01.2025;21:00;2.532,63;1.795,00;1.741,15;2.608,61;Enerji Fazlası
10.01.2025;22:00;2.199,99;1.795,00;1.741,15;2.265,99;Enerji Fazlası
10.01.2025;23:00;2.199,00;1.795,00;1.741,15;2.264,97;Enerji Fazlası
11.01.2025;00:00;2.175,00;1.975,00;1.915,75;2.240,25;Enerji Fazlası
11.01.2025;01:00;2.198,00;2.448,00;2.132,06;2.521,44;Enerji Açığı
11.01.2025;02:00;1.999,98;2.249,98;1.939,98;2.317,48;Enerji Açığı
11.01.2025;03:00;2.068,39;1.795,00;1.741,15;2.130,44;Enerji Fazlası
11.01.2025;04:00;2.154,56;2.154,56;2.089,92;2.219,20;Dengede
11.01.2025;05:00;2.447,60;2.222,60;2.155,92;2.521,03;Enerji Fazlası
11.01.2025;06:00;2.441,06;2.441,06;2.367,83;2.514,29;Dengede
11.01.2025;07:00;2.599,01;2.624,06;2.521,04;2.702,78;Enerji Açığı
11.01.2025;08:00;2.990,00;2.999,01;2.900,30;3.088,98;Enerji Açığı
11.01.2025;09:00;2.972,01;2.999,01;2.882,85;3.088,98;Enerji Açığı
11.01.2025;10:00;2.572,45;1.716,00;1.664,52;2.649,62;Enerji Fazlası
11.01.2025;11:00;2.496,35;2.496,35;2.421,46;2.571,24;Dengede
11.01.2025;12:00;1.799,98;750,00;727,50;1.853,98;Enerji Fazlası
11.01.2025;13:00;1.939,99;2.189,99;1.881,79;2.255,69;Enerji Açığı
11.01.2025;14:00;2.150,00;2.798,00;2.085,50;2.881,94;Enerji Açığı
11.01.2025;15:00;2.044,84;2.790,00;1.983,49;2.873,70;Enerji Açığı
11.01.2025;16:00;2.599,02;2.599,02;2.521,05;2.676,99;Enerji Fazlası
11.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
11.01.2025;18:00;2.989,99;2.999,04;2.900,29;3.089,01;Enerji Açığı
11.01.2025;19:00;2.989,99;2.999,04;2.900,29;3.089,01;Enerji Açığı
11.01.2025;20:00;2.900,00;2.999,01;2.813,00;3.088,98;Enerji Açığı
11.01.2025;21:00;2.945,99;2.999,00;2.857,61;3.088,97;Enerji Açığı
11.01.2025;22:00;2.490,00;1.795,00;1.741,15;2.564,70;Enerji Fazlası
11.01.2025;23:00;2.356,60;1.795,00;1.741,15;2.427,30;Enerji Fazlası
12.01.2025;00:00;2.633,40;2.433,40;2.360,40;2.712,40;Enerji Fazlası
12.01.2025;01:00;2.490,00;2.740,00;2.415,30;2.822,20;Enerji Açığı
12.01.2025;02:00;2.365,01;2.615,01;2.294,06;2.693,46;Enerji Açığı
12.01.2025;03:00;2.100,00;2.350,00;2.037,00;2.420,50;Enerji Açığı
12.01.2025;04:00;1.999,99;2.249,99;1.939,99;2.317,49;Enerji Açığı
12.01.2025;05:00;2.011,99;2.011,99;1.951,63;2.072,35;Dengede
12.01.2025;06:00;2.774,99;2.889,00;2.691,74;2.975,67;Enerji Açığı
12.01.2025;07:00;2.918,99;1.430,00;1.387,10;3.006,56;Enerji Fazlası
12.01.2025;08:00;2.950,01;1.000,00;970,00;3.038,51;Enerji Fazlası
12.01.2025;09:00;2.950,01;700,00;679,00;3.038,51;Enerji Fazlası
12.01.2025;10:00;2.599,02;699,99;678,99;2.676,99;Enerji Fazlası
12.01.2025;11:00;1.940,00;700,00;679,00;1.998,20;Enerji Fazlası
12.01.2025;12:00;1.799,97;699,99;678,99;1.853,97;Enerji Fazlası
12.01.2025;13:00;1.799,98;750,00;727,50;1.853,98;Enerji Fazlası
12.01.2025;14:00;1.940,00;1.000,00;970,00;1.998,20;Enerji Fazlası
12.01.2025;15:00;2.394,66;1.000,00;970,00;2.466,50;Enerji Fazlası
12.01.2025;16:00;2.680,00;1.616,00;1.567,52;2.760,40;Enerji Fazlası
12.01.2025;17:00;2.994,00;1.795,00;1.741,15;3.083,82;Enerji Fazlası
12.01.2025;18:00;2.950,00;2.100,00;2.037,00;3.038,50;Enerji Fazlası
12.01.2025;19:00;2.599,01;1.651,00;1.601,47;2.676,98;Enerji Fazlası
12.01.2025;20:00;2.076,99;1.651,00;1.601,47;2.139,30;Enerji Fazlası
12.01.2025;21:00;2.500,00;1.795,00;1.741,15;2.575,00;Enerji Fazlası
12.01.2025;22:00;1.405,51;750,00;727,50;1.447,68;Enerji Fazlası
12.01.2025;23:00;1.799,97;1.574,97;1.527,72;1.853,97;Enerji Fazlası
13.01.2025;00:00;2.099,99;700,00;679,00;2.162,99;Enerji Fazlası
13.01.2025;01:00;2.050,00;1.000,00;970,00;2.111,50;Enerji Fazlası
13.01.2025;02:00;1.425,00;1.425,00;1.382,25;1.467,75;Dengede
13.01.2025;03:00;1.424,99;1.424,99;1.382,24;1.467,74;Dengede
13.01.2025;04:00;1.723,00;1.723,00;1.671,31;1.774,69;Dengede
13.01.2025;05:00;1.900,01;1.900,01;1.843,01;1.957,01;Dengede
13.01.2025;06:00;2.197,00;2.447,00;2.131,09;2.520,41;Enerji Açığı
13.01.2025;07:00;1.999,99;2.393,70;1.939,99;2.465,51;Enerji Açığı
13.01.2025;08:00;2.899,99;2.923,69;2.812,99;3.011,40;Enerji Açığı
13.01.2025;09:00;2.986,03;2.999,02;2.896,45;3.088,99;Enerji Açığı
13.01.2025;10:00;2.800,00;2.999,03;2.716,00;3.089,00;Enerji Açığı
13.01.2025;11:00;2.510,29;2.900,00;2.434,98;2.987,00;Enerji Açığı
13.01.2025;12:00;1.974,99;2.600,00;1.915,74;2.678,00;Enerji Açığı
13.01.2025;13:00;2.262,73;2.960,00;2.194,85;3.048,80;Enerji Açığı
13.01.2025;14:00;2.542,06;2.999,04;2.465,80;3.089,01;Enerji Açığı
13.01.2025;15:00;2.824,99;2.999,23;2.740,24;3.089,21;Enerji Açığı
13.01.2025;16:00;2.980,00;2.999,21;2.890,60;3.089,19;Enerji Açığı
13.01.2025;17:00;3.000,00;3.000,00;2.910,00;3.090,00;Enerji Açığı
13.01.2025;18:00;2.949,99;2.999,01;2.861,49;3.088,98;Enerji Açığı
13.01.2025;19:00;2.887,46;1.795,00;1.741,15;2.974,08;Enerji Fazlası
13.01.2025;20:00;2.732,87;2.450,00;2.376,50;2.814,86;Enerji Fazlası
13.01.2025;21:00;2.520,86;2.770,86;2.445,23;2.853,99;Enerji Açığı
13.01.2025;22:00;2.174,99;1.795,00;1.741,15;2.240,24;Enerji Fazlası
13.01.2025;23:00;2.397,01;2.397,01;2.325,10;2.468,92;Enerji Fazlası
14.01.2025;00:00;2.500,00;2.750,00;2.425,00;2.832,50;Enerji Açığı
14.01.2025;01:00;2.500,01;2.800,00;2.425,01;2.884,00;Enerji Açığı
14.01.2025;02:00;2.413,64;2.437,34;2.341,23;2.510,46;Enerji Açığı
14.01.2025;03:00;2.054,99;2.054,99;1.993,34;2.116,64;Dengede
14.01.2025;04:00;1.939,99;1.939,99;1.881,79;1.998,19;Dengede
